height,miner_address,reward_bina,total_mined_bina,timestamp_unix
102,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5100,1783170023
103,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5150,1783170025
104,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5200,1783170030
105,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5250,1783170045
106,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5300,1783170053
107,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5350,1783170067
108,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5400,1783170102
109,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5450,1783170118
110,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5500,1783170120
111,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5550,1783170125
112,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5600,1783170146
113,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5650,1783170149
114,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5700,1783170171
115,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5750,1783170172
116,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5800,1783170185
117,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5850,1783170192
118,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5900,1783170197
119,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,5950,1783170217
120,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6000,1783170221
121,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6050,1783170248
122,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6100,1783170249
123,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6150,1783170249
124,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6200,1783170250
125,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6250,1783170289
126,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6300,1783170290
127,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6350,1783170315
128,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6400,1783170342
129,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6450,1783170344
130,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6500,1783170345
131,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6550,1783170346
132,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6600,1783170346
133,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6650,1783170347
134,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6700,1783170350
135,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6750,1783170359
136,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6800,1783170360
137,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6850,1783170384
138,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6900,1783170393
139,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,6950,1783170397
140,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7000,1783170409
141,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7050,1783170410
142,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7100,1783170412
143,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7150,1783170415
144,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7200,1783170424
145,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7250,1783170428
146,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,7300,1783170435
